fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate,minade_all,minfde_all,minade_moving,minfde_moving
1,baseline_k6,3,4014ae5bcda2726f,144,143,3.41311,6.73822,3.42192,6.76395,nan,3.01176,5.89193,3.01776,5.91173
1,baseline_k1,3,2a81f5233075e987,273,272,1.66073,2.67568,1.65928,2.67594,nan,1.66073,2.67568,1.65928,2.67594
1,baseline_k1,3,4014ae5bcda2726f,144,143,4.06317,7.69897,4.07658,7.73392,nan,4.06317,7.69897,4.07658,7.73392
1,baseline_k6,4,2a81f5233075e987,273,272,1.24163,1.95579,1.24291,1.95984,nan,1.11504,1.59409,1.11586,1.59681
1,baseline_k6,4,4014ae5bcda2726f,144,143,3.73261,7.21929,3.75204,7.26374,nan,2.44170,4.76081,2.45209,4.78807
1,baseline_k1,4,2a81f5233075e987,273,272,1.17142,2.36529,1.17210,2.37103,nan,1.17142,2.36529,1.17210,2.37103
1,baseline_k1,4,4014ae5bcda2726f,144,143,3.17987,6.23875,3.19429,6.27561,nan,3.17987,6.23875,3.19429,6.27561
1,baseline_k6,5,2a81f5233075e987,273,272,1.23501,2.17250,1.23341,2.17399,nan,1.12210,2.07402,1.12008,2.07515
1,baseline_k6,5,4014ae5bcda2726f,144,143,3.72090,7.15459,3.73452,7.19170,nan,2.65252,4.79731,2.65921,4.81794
1,baseline_k1,5,2a81f5233075e987,273,272,1.68681,2.76935,1.68351,2.76791,nan,1.68681,2.76935,1.68351,2.76791
1,baseline_k1,5,4014ae5bcda2726f,144,143,3.44554,6.53489,3.45091,6.55777,nan,3.44554,6.53489,3.45091,6.55777
1,baseline_k6,6,2a81f5233075e987,273,272,1.30865,2.08266,1.30774,2.08350,nan,0.93373,1.71786,0.93192,1.71735
1,baseline_k6,6,4014ae5bcda2726f,144,143,3.92858,7.80376,3.94468,7.84483,nan,2.69435,5.13740,2.70277,5.15992
1,baseline_k1,6,2a81f5233075e987,273,272,1.39421,2.76852,1.39399,2.77271,nan,1.39421,2.76852,1.39399,2.77271
1,baseline_k1,6,4014ae5bcda2726f,144,143,2.82012,5.58222,2.82927,5.60985,nan,2.82012,5.58222,2.82927,5.60985
1,baseline_k6,7,2a81f5233075e987,273,272,1.51586,2.33927,1.51558,2.33938,nan,1.44253,2.26163,1.44197,2.26145
1,baseline_k6,7,4014ae5bcda2726f,144,143,4.18180,8.34313,4.19952,8.38504,nan,3.25450,5.65405,3.26574,5.67715
1,baseline_k1,7,2a81f5233075e987,273,272,1.33647,2.05787,1.33501,2.05838,nan,1.33647,2.05787,1.33501,2.05838
1,baseline_k1,7,4014ae5bcda2726f,144,143,3.96840,7.40412,3.98325,7.44148,nan,3.96840,7.40412,3.98325,7.44148
2,baseline_k6,0,2e41fe6faf5cd2ea,210,183,3.19813,5.67388,3.20207,5.79588,nan,1.57513,2.25236,1.63166,2.39387
2,baseline_k6,0,41692b0ec7ff4123,105,104,7.45740,23.28788,7.49852,23.46571,nan,5.62528,17.88279,5.66726,18.04249
2,baseline_k1,0,2e41fe6faf5cd2ea,210,183,1.54224,2.81774,1.65337,3.14912,nan,1.54224,2.81774,1.65337,3.14912
2,baseline_k1,0,41692b0ec7ff4123,105,104,6.65534,21.91555,6.71326,22.12484,nan,6.65534,21.91555,6.71326,22.12484
2,baseline_k6,1,2e41fe6faf5cd2ea,210,183,2.28765,4.76317,2.41655,5.11051,nan,1.65243,2.35020,1.75208,2.56653
2,baseline_k6,1,41692b0ec7ff4123,105,104,6.92316,22.91828,6.97636,23.11529,nan,5.03376,13.52725,5.07252,13.64926
2,baseline_k1,1,2e41fe6faf5cd2ea,210,183,3.40451,5.55674,3.47144,5.79508,nan,3.40451,5.55674,3.47144,5.79508
2,baseline_k1,1,41692b0ec7ff4123,105,104,7.42000,22.30342,7.46327,22.48139,nan,7.42000,22.30342,7.46327,22.48139
2,baseline_k6,2,2e41fe6faf5cd2ea,210,183,1.43953,3.22955,1.53857,3.54089,nan,1.18849,2.29199,1.25049,2.46607
2,baseline_k6,2,41692b0ec7ff4123,105,104,6.90142,22.75604,6.96072,22.96436,nan,5.34123,17.75621,5.38553,17.91645
2,baseline_k1,2,2e41fe6faf5cd2ea,210,183,1.58393,3.09532,1.65844,3.37200,nan,1.58393,3.09532,1.65844,3.37200
2,baseline_k1,2,41692b0ec7ff4123,105,104,6.55320,22.00737,6.60691,22.20952,nan,6.55320,22.00737,6.60691,22.20952
2,baseline_k6,3,2e41fe6faf5cd2ea,210,183,2.56421,4.02252,2.62791,4.30396,nan,1.29403,1.90219,1.36755,2.03051
2,baseline_k6,3,41692b0ec7ff4123,105,104,6.58712,21.38330,6.63031,21.57054,nan,5.24168,16.25071,5.28394,16.39620
2,baseline_k1,3,2e41fe6faf5cd2ea,210,183,3.68071,6.01128,3.73467,6.25173,nan,3.68071,6.01128,3.73467,6.25173
2,baseline_k1,3,41692b0ec7ff4123,105,104,7.99069,23.00643,8.03476,23.18503,nan,7.99069,23.00643,8.03476,23.18503
2,baseline_k6,4,2e41fe6faf5cd2ea,210,183,2.36770,5.01844,2.50855,5.33583,nan,1.40090,2.54390,1.51015,2.78076
2,baseline_k6,4,41692b0ec7ff4123,105,104,7.69734,23.83320,7.75834,24.03221,nan,5.67168,18.44254,5.71984,18.61050
2,baseline_k1,4,2e41fe6faf5cd2ea,210,183,1.87335,3.49459,1.95248,3.77797,nan,1.87335,3.49459,1.95248,3.77797
2,baseline_k1,4,41692b0ec7ff4123,105,104,6.65318,21.87271,6.70518,22.07019,nan,6.65318,21.87271,6.70518,22.07019
2,baseline_k6,5,2e41fe6faf5cd2ea,210,183,3.26588,5.75103,3.40363,6.13008,nan,1.82997,3.53785,1.97280,3.84452
2,baseline_k6,5,41692b0ec7ff4123,105,104,8.02541,23.86035,8.07919,24.05838,nan,7.02086,20.75043,7.08069,20.93662
2,baseline_k1,5,2e41fe6faf5cd2ea,210,183,1.59853,3.02317,1.69242,3.34021,nan,1.59853,3.02317,1.69242,3.34021
2,baseline_k1,5,41692b0ec7ff4123,105,104,6.66664,21.92112,6.72202,22.12523,nan,6.66664,21.92112,6.72202,22.12523
2,baseline_k6,6,2e41fe6faf5cd2ea,210,183,2.65323,4.40126,2.67516,4.55844,nan,1.76462,2.38488,1.83275,2.59102
2,baseline_k6,6,41692b0ec7ff4123,105,104,8.28325,24.28857,8.34011,24.49393,nan,5.51774,18.00874,5.55742,18.17185
2,baseline_k1,6,2e41fe6faf5cd2ea,210,183,2.48542,4.33926,2.56789,4.62411,nan,2.48542,4.33926,2.56789,4.62411
2,baseline_k1,6,41692b0ec7ff4123,105,104,7.12606,22.39326,7.17571,22.58564,nan,7.12606,22.39326,7.17571,22.58564
2,baseline_k6,7,2e41fe6faf5cd2ea,210,183,2.59749,4.59873,2.70358,4.92758,nan,1.94467,3.37979,1.99116,3.54638
2,baseline_k6,7,41692b0ec7ff4123,105,104,7.20774,22.46324,7.25955,22.65815,nan,6.20505,17.72546,6.24814,17.87480
2,baseline_k1,7,2e41fe6faf5cd2ea,210,183,1.88017,3.45214,1.95084,3.72955,nan,1.88017,3.45214,1.95084,3.72955
2,baseline_k1,7,41692b0ec7ff4123,105,104,6.80410,22.18841,6.85615,22.38753,nan,6.80410,22.18841,6.85615,22.38753
3,baseline_k6,0,367b072edc9822ea,36,35,6.92625,14.17091,7.08311,14.53240,nan,3.17150,5.77453,3.22490,5.89613
3,baseline_k6,0,4a2ef30000d19d90,144,143,1.99643,4.19764,2.00062,4.21714,nan,1.25100,1.38259,1.24998,1.38241
3,baseline_k1,0,367b072edc9822ea,36,35,5.64582,11.38816,5.73783,11.62221,nan,5.64582,11.38816,5.73783,11.62221
3,baseline_k1,0,4a2ef30000d19d90,144,143,1.40801,2.23584,1.40130,2.22994,nan,1.40801,2.23584,1.40130,2.22994
3,baseline_k6,1,367b072edc9822ea,36,35,6.90466,14.99977,7.04519,15.35056,nan,3.44883,7.07539,3.50577,7.19977
3,baseline_k6,1,4a2ef30000d19d90,144,143,1.74715,3.61723,1.74571,3.62395,nan,1.20281,2.52935,1.20086,2.52847
3,baseline_k1,1,367b072edc9822ea,36,35,4.50065,9.78871,4.57798,10.00485,nan,4.50065,9.78871,4.57798,10.00485
3,baseline_k1,1,4a2ef30000d19d90,144,143,1.59754,3.56810,1.59673,3.57871,nan,1.59754,3.56810,1.59673,3.57871
3,baseline_k6,2,367b072edc9822ea,36,35,4.45399,9.65370,4.54809,9.89364,nan,3.13517,6.89962,3.19159,7.06088
3,baseline_k6,2,4a2ef30000d19d90,144,143,1.95111,3.55380,1.95720,3.57084,nan,1.47752,2.48913,1.48031,2.49873
3,baseline_k1,2,367b072edc9822ea,36,35,3.58933,8.34976,3.63964,8.52331,nan,3.58933,8.34976,3.63964,8.52331
3,baseline_k1,2,4a2ef30000d19d90,144,143,1.53109,3.25447,1.52927,3.26175,nan,1.53109,3.25447,1.52927,3.26175
3,baseline_k6,3,367b072edc9822ea,36,35,6.89955,13.21224,7.02557,13.50760,nan,2.83281,5.26630,2.87927,5.38635
3,baseline_k6,3,4a2ef30000d19d90,144,143,1.78769,3.24741,1.78229,3.24938,nan,1.44122,2.01429,1.44288,2.02124
3,baseline_k1,3,367b072edc9822ea,36,35,5.67832,11.92310,5.79469,12.20759,nan,5.67832,11.92310,5.79469,12.20759
3,baseline_k1,3,4a2ef30000d19d90,144,143,1.60703,3.48297,1.60765,3.49489,nan,1.60703,3.48297,1.60765,3.49489
3,baseline_k6,4,367b072edc9822ea,36,35,7.92551,15.56250,8.10736,15.95193,nan,3.52125,7.35633,3.57726,7.51130
3,baseline_k6,4,4a2ef30000d19d90,144,143,2.30389,3.97006,2.30922,3.98473,nan,1.88075,2.68646,1.88312,2.69216
3,baseline_k1,4,367b072edc9822ea,36,35,5.13230,10.71721,5.21067,10.93481,nan,5.13230,10.71721,5.21067,10.93481
3,baseline_k1,4,4a2ef30000d19d90,144,143,1.66777,3.39063,1.66330,3.39378,nan,1.66777,3.39063,1.66330,3.39378
3,baseline_k6,5,367b072edc9822ea,36,35,6.52019,12.32431,6.66594,12.63405,nan,3.92548,7.50250,3.99856,7.68172
3,baseline_k6,5,4a2ef30000d19d90,144,143,1.54750,2.78632,1.54828,2.79516,nan,1.18171,1.60999,1.18060,1.61303
3,baseline_k1,5,367b072edc9822ea,36,35,4.40746,9.40133,4.50110,9.63123,nan,4.40746,9.40133,4.50110,9.63123
3,baseline_k1,5,4a2ef30000d19d90,144,143,1.86940,3.99216,1.87396,4.00932,nan,1.86940,3.99216,1.87396,4.00932
3,baseline_k6,6,367b072edc9822ea,36,35,5.81626,12.53399,5.93447,12.83654,nan,2.42122,4.78609,2.45019,4.89528
3,baseline_k6,6,4a2ef30000d19d90,144,143,1.71153,3.72511,1.71228,3.73860,nan,1.08610,1.80772,1.08389,1.81377
