fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate
3,gated005,4,367b072edc9822ea,36,35,4.61052,10.13274,4.66070,10.30388,0.00406
3,gated005,4,4a2ef30000d19d90,144,143,1.34052,2.20536,1.33383,2.19867,0.00406
3,gated005,5,367b072edc9822ea,36,35,4.53661,9.66733,4.61868,9.89252,0.00622
3,gated005,5,4a2ef30000d19d90,144,143,1.40727,2.82954,1.40549,2.83676,0.00622
3,gated005,6,367b072edc9822ea,36,35,5.37631,11.25936,5.46058,11.48806,0.00362
3,gated005,6,4a2ef30000d19d90,144,143,1.44966,2.03189,1.44347,2.02453,0.00362
3,gated005,7,367b072edc9822ea,36,35,5.16306,10.58877,5.24749,10.81177,0.00532
3,gated005,7,4a2ef30000d19d90,144,143,1.56470,2.78639,1.56616,2.79657,0.00532
4,gated005,0,394e61f27c2a1700,435,434,1.33588,1.10817,1.33415,1.10469,0.00464
4,gated005,0,4b60f9400a30ceaf,194,193,4.68516,11.20061,4.69832,11.24461,0.00464
4,gated005,1,394e61f27c2a1700,435,434,0.83717,1.59295,0.83363,1.58978,0.00194
4,gated005,1,4b60f9400a30ceaf,194,193,5.00755,11.61562,5.02082,11.65985,0.00194
4,gated005,2,394e61f27c2a1700,435,434,1.67094,2.51769,1.66844,2.51437,0.00276
4,gated005,2,4b60f9400a30ceaf,194,193,5.08338,12.01323,5.09691,12.05782,0.00276
4,gated005,3,394e61f27c2a1700,435,434,1.55586,3.80994,1.55607,3.81499,0.00535
4,gated005,3,4b60f9400a30ceaf,194,193,4.08170,10.06478,4.09342,10.10537,0.00535
4,gated005,4,394e61f27c2a1700,435,434,1.46903,3.31496,1.47024,3.32113,0.00407
4,gated005,4,4b60f9400a30ceaf,194,193,4.21639,10.38251,4.22885,10.42527,0.00407
4,gated005,5,394e61f27c2a1700,435,434,1.03262,2.39116,1.03081,2.39112,0.00444
4,gated005,5,4b60f9400a30ceaf,194,193,5.07693,11.95833,5.08973,12.00123,0.00444
4,gated005,6,394e61f27c2a1700,435,434,1.25375,3.11299,1.25374,3.11778,0.00467
4,gated005,6,4b60f9400a30ceaf,194,193,4.32162,10.45664,4.33464,10.50014,0.00467
4,gated005,7,394e61f27c2a1700,435,434,0.98056,2.26560,0.97791,2.26494,0.00489
4,gated005,7,4b60f9400a30ceaf,194,193,4.41885,10.52200,4.43185,10.56466,0.00489
