fold,epoca_mejor,recon_mejor,recon_1000,dif,rel,dif_curva
0,530,0.17920937602009093,0.1766911130398512,0.002518262980239744,1.425234657767859,-0.01854479632207326
1,450,0.21807460726371833,0.23833691887557507,-0.020262311611856737,-8.501541308602203,-0.04617931613964693
2,960,0.1305884581857494,0.13114204896347864,-0.0005535907777292348,-0.42213064543730183,-0.004134304289306931
3,30,0.13508756857897555,0.1609910126509411,-0.025903444071965542,-16.08999387321645,-0.03444317754890239
4,100,0.16430717001536063,0.21742012165486813,-0.053112951639507494,-24.428719492586243,-0.05034334465329138
