epoca,train_vistas,train_vistas_sd,train_nuevas,train_nuevas_sd,val,val_sd
sin_entrenar,0.6503135561943054,0.04684139237819894,0.6565525637318691,0.04141376420757835,0.5729949516909463,0.017724270087693093
10,0.14934095437638462,0.02330720439861885,0.15039044296524176,0.02336713417724058,0.13180567483816827,0.005366767117389737
20,0.14056487707421184,0.024989539138418955,0.14160385995637625,0.024309596866508743,0.13318404076354845,0.006735970524832742
30,0.13955852366052568,0.023886384165551645,0.1427635638586556,0.023352214525772838,0.12870722969195672,0.005482383568342803
40,0.13791593653149903,0.02338059564535517,0.14297731806679317,0.02337747887481555,0.13249995466321707,0.006058480904369238
50,0.14184853457845747,0.027653066763763737,0.14868143290126076,0.028060918100416266,0.13375116751662322,0.006932864017117463
60,0.14066687133163214,0.025599729216690303,0.14722959813661873,0.02454131374978017,0.14805044420063496,0.006922663646691518
70,0.1380485852714628,0.024582771000184807,0.14489626399396607,0.024638898527093535,0.13486035700355256,0.005122780234790347
80,0.13790380954742432,0.025804286931388018,0.14522545439346382,0.0253492398848454,0.14314098390085356,0.007303378636438378
90,0.1372948605567217,0.02308293333647052,0.1439717032480985,0.022733965213487643,0.13658563074256694,0.005690974618648359
100,0.13824021653272212,0.02241857725410779,0.14585308924627802,0.02181339974261663,0.14119080986295426,0.006096243395456642
110,0.13949421816505492,0.02350165253895616,0.1474105651723221,0.02333042464903462,0.14811169276280062,0.0073764598447471985
120,0.13461417122744024,0.028782347180974666,0.14205167772403607,0.029110509045189123,0.1348785229825548,0.008648938302109447
130,0.11605864600278437,0.04160867853688458,0.12144017157455285,0.03857214655793965,0.1311310636145728,0.029457522606495257
140,0.10485950927250087,0.028221563019646005,0.11686138952306162,0.032604742125373815,0.13667459639587573,0.023697728740629503
150,0.1094512646086514,0.032890939041195125,0.1214450536839043,0.031966762306440466,0.1411078753215926,0.018877212473277883
160,0.10560536198318005,0.03480677707605001,0.124921076077347,0.03496382070721788,0.14553364193333046,0.022971659549203834
170,0.09959196159616113,0.032075909919670305,0.11607500157939891,0.032808392828172106,0.14510110353252717,0.021865565577470332
180,0.10438323672860861,0.030879916905767323,0.12406639537463586,0.03377463586410209,0.13530356237398727,0.023907491919426635
190,0.10621080920100212,0.025972464521551372,0.12324284265438716,0.029591878880620915,0.13073573048625672,0.01872616671365988
