fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate,minade_all,minfde_all,minade_moving,minfde_moving
2,enc_mejor,3,2e41fe6faf5cd2ea,210,183,4.63985,7.69548,4.75035,8.01609,0.50000,4.63985,7.69548,4.75035,8.01609
2,enc_mejor,3,41692b0ec7ff4123,105,104,9.47237,24.93173,9.52520,25.11782,0.50000,9.47237,24.93173,9.52520,25.11782
2,enc_1000,0,2e41fe6faf5cd2ea,210,183,3.64621,5.76616,3.75107,6.09069,0.50000,3.64621,5.76616,3.75107,6.09069
2,enc_1000,0,41692b0ec7ff4123,105,104,8.34209,23.55776,8.39300,23.74936,0.50000,8.34209,23.55776,8.39300,23.74936
2,enc_1000,1,2e41fe6faf5cd2ea,210,183,3.29279,5.43551,3.38226,5.74421,0.50000,3.29279,5.43551,3.38226,5.74421
2,enc_1000,1,41692b0ec7ff4123,105,104,8.11441,23.58708,8.16606,23.78178,0.50000,8.11441,23.58708,8.16606,23.78178
2,enc_1000,2,2e41fe6faf5cd2ea,210,183,1.50419,2.92747,1.62064,3.28509,0.50000,1.50419,2.92747,1.62064,3.28509
2,enc_1000,2,41692b0ec7ff4123,105,104,7.03267,22.65983,7.09209,22.86868,0.50000,7.03267,22.65983,7.09209,22.86868
2,enc_1000,3,2e41fe6faf5cd2ea,210,183,2.04295,3.81794,2.10781,4.07193,0.50000,2.04295,3.81794,2.10781,4.07193
2,enc_1000,3,41692b0ec7ff4123,105,104,7.40913,22.90160,7.46901,23.11040,0.50000,7.40913,22.90160,7.46901,23.11040
3,enc_mejor,0,367b072edc9822ea,36,35,7.18549,14.56917,7.32568,14.89171,0.50000,7.18549,14.56917,7.32568,14.89171
3,enc_mejor,0,4a2ef30000d19d90,144,143,2.01772,3.51087,2.01605,3.51283,0.50000,2.01772,3.51087,2.01605,3.51283
3,enc_mejor,1,367b072edc9822ea,36,35,6.63376,13.21782,6.75764,13.51676,0.50000,6.63376,13.21782,6.75764,13.51676
3,enc_mejor,1,4a2ef30000d19d90,144,143,1.54821,2.15329,1.54296,2.14922,0.50000,1.54821,2.15329,1.54296,2.14922
3,enc_mejor,2,367b072edc9822ea,36,35,6.13037,12.42586,6.22582,12.67357,0.50000,6.13037,12.42586,6.22582,12.67357
3,enc_mejor,2,4a2ef30000d19d90,144,143,2.15583,3.04144,2.15119,3.03615,0.50000,2.15583,3.04144,2.15119,3.03615
3,enc_mejor,3,367b072edc9822ea,36,35,6.72922,13.50895,6.85550,13.81630,0.50000,6.72922,13.50895,6.85550,13.81630
3,enc_mejor,3,4a2ef30000d19d90,144,143,1.63045,1.98631,1.62557,1.98080,0.50000,1.63045,1.98631,1.62557,1.98080
3,enc_1000,0,367b072edc9822ea,36,35,7.50124,13.62482,7.65231,13.93804,0.50000,7.50124,13.62482,7.65231,13.93804
3,enc_1000,0,4a2ef30000d19d90,144,143,2.18319,4.29040,2.19452,4.31355,0.50000,2.18319,4.29040,2.19452,4.31355
3,enc_1000,1,367b072edc9822ea,36,35,9.67872,18.51054,9.91045,18.97247,0.50000,9.67872,18.51054,9.91045,18.97247
3,enc_1000,1,4a2ef30000d19d90,144,143,3.23191,5.01180,3.23845,5.02359,0.50000,3.23191,5.01180,3.23845,5.02359
3,enc_1000,2,367b072edc9822ea,36,35,6.56726,13.06101,6.73892,13.41189,0.50000,6.56726,13.06101,6.73892,13.41189
3,enc_1000,2,4a2ef30000d19d90,144,143,1.80923,3.71656,1.80974,3.71979,0.50000,1.80923,3.71656,1.80974,3.71979
3,enc_1000,3,367b072edc9822ea,36,35,6.58601,13.56727,6.71828,13.88909,0.50000,6.58601,13.56727,6.71828,13.88909
3,enc_1000,3,4a2ef30000d19d90,144,143,1.58527,2.18290,1.58500,2.18635,0.50000,1.58527,2.18290,1.58500,2.18635
4,enc_mejor,0,394e61f27c2a1700,435,434,2.17896,2.64541,2.17785,2.64299,0.50000,2.17896,2.64541,2.17785,2.64299
4,enc_mejor,0,4b60f9400a30ceaf,194,193,5.70903,13.05798,5.72474,13.10640,0.50000,5.70903,13.05798,5.72474,13.10640
4,enc_mejor,1,394e61f27c2a1700,435,434,2.58814,3.30751,2.58674,3.30435,0.50000,2.58814,3.30751,2.58674,3.30435
4,enc_mejor,1,4b60f9400a30ceaf,194,193,6.25723,14.10502,6.27295,14.15367,0.50000,6.25723,14.10502,6.27295,14.15367
4,enc_mejor,2,394e61f27c2a1700,435,434,1.67510,2.89878,1.67505,2.89986,0.50000,1.67510,2.89878,1.67505,2.89986
4,enc_mejor,2,4b60f9400a30ceaf,194,193,3.76117,9.49319,3.77197,9.53001,0.50000,3.76117,9.49319,3.77197,9.53001
4,enc_mejor,3,394e61f27c2a1700,435,434,1.44583,1.57034,1.44569,1.57043,0.50000,1.44583,1.57034,1.44569,1.57043
4,enc_mejor,3,4b60f9400a30ceaf,194,193,4.56940,10.84590,4.58510,10.89391,0.50000,4.56940,10.84590,4.58510,10.89391
4,enc_1000,0,394e61f27c2a1700,435,434,2.19651,2.64621,2.19666,2.64560,0.50000,2.19651,2.64621,2.19666,2.64560
4,enc_1000,0,4b60f9400a30ceaf,194,193,4.74941,11.22626,4.76442,11.27212,0.50000,4.74941,11.22626,4.76442,11.27212
4,enc_1000,1,394e61f27c2a1700,435,434,2.96481,5.36745,2.96560,5.36900,0.50000,2.96481,5.36745,2.96560,5.36900
4,enc_1000,1,4b60f9400a30ceaf,194,193,4.25242,10.44558,4.26096,10.47549,0.50000,4.25242,10.44558,4.26096,10.47549
4,enc_1000,2,394e61f27c2a1700,435,434,2.05561,2.62224,2.05491,2.62048,0.50000,2.05561,2.62224,2.05491,2.62048
4,enc_1000,2,4b60f9400a30ceaf,194,193,5.86291,13.34746,5.88118,13.39932,0.50000,5.86291,13.34746,5.88118,13.39932
4,enc_1000,3,394e61f27c2a1700,435,434,1.12534,2.86702,1.12650,2.87168,0.50000,1.12534,2.86702,1.12650,2.87168
4,enc_1000,3,4b60f9400a30ceaf,194,193,3.56412,9.14732,3.57790,9.18705,0.50000,3.56412,9.14732,3.57790,9.18705
