fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate,minade_all,minfde_all,minade_moving,minfde_moving,n_veh,ade_veh,fde_veh,minade_veh,minfde_veh
1,base_pad0,1,2a81f5233075e987,273,272,1.52278,2.75968,1.52036,2.76039,nan,1.52278,2.75968,1.52036,2.76039,189,1.59900,2.89472,1.59900,2.89472
1,base_pad0,1,4014ae5bcda2726f,144,143,3.11081,5.83160,3.11648,5.85335,nan,3.11081,5.83160,3.11648,5.85335,123,3.21172,6.07943,3.21172,6.07943
1,base_pad0,2,2a81f5233075e987,273,272,1.56983,3.12889,1.57382,3.13910,nan,1.56983,3.12889,1.57382,3.13910,189,1.63747,3.25417,1.63747,3.25417
1,base_pad0,2,4014ae5bcda2726f,144,143,2.07753,4.09343,2.08807,4.11952,nan,2.07753,4.09343,2.08807,4.11952,123,2.10148,4.19689,2.10148,4.19689
1,base_pad0,3,2a81f5233075e987,273,272,1.66073,2.67568,1.65928,2.67594,nan,1.66073,2.67568,1.65928,2.67594,189,1.52786,2.52697,1.52786,2.52697
1,base_pad0,3,4014ae5bcda2726f,144,143,4.06317,7.69897,4.07658,7.73392,nan,4.06317,7.69897,4.07658,7.73392,123,4.21686,8.07589,4.21686,8.07589
1,base_pad0,4,2a81f5233075e987,273,272,1.17142,2.36529,1.17210,2.37103,nan,1.17142,2.36529,1.17210,2.37103,189,1.24787,2.50686,1.24787,2.50686
1,base_pad0,4,4014ae5bcda2726f,144,143,3.17987,6.23875,3.19429,6.27561,nan,3.17987,6.23875,3.19429,6.27561,123,3.37551,6.68098,3.37551,6.68098
1,base_pad0,5,2a81f5233075e987,273,272,1.68681,2.76935,1.68351,2.76791,nan,1.68681,2.76935,1.68351,2.76791,189,1.58287,2.62415,1.58287,2.62415
1,base_pad0,5,4014ae5bcda2726f,144,143,3.44554,6.53489,3.45091,6.55777,nan,3.44554,6.53489,3.45091,6.55777,123,3.48591,6.69956,3.48591,6.69956
1,base_pad0,6,2a81f5233075e987,273,272,1.39421,2.76852,1.39399,2.77271,nan,1.39421,2.76852,1.39399,2.77271,189,1.25288,2.54660,1.25288,2.54660
1,base_pad0,6,4014ae5bcda2726f,144,143,2.82012,5.58222,2.82927,5.60985,nan,2.82012,5.58222,2.82927,5.60985,123,2.87235,5.75190,2.87235,5.75190
1,base_pad0,7,2a81f5233075e987,273,272,1.33647,2.05787,1.33501,2.05838,nan,1.33647,2.05787,1.33501,2.05838,189,1.45578,2.28703,1.45578,2.28703
1,base_pad0,7,4014ae5bcda2726f,144,143,3.96840,7.40412,3.98325,7.44148,nan,3.96840,7.40412,3.98325,7.44148,123,4.16730,7.82082,4.16730,7.82082
1,base_pad64,0,2a81f5233075e987,273,272,2.29676,3.24496,2.29434,3.24159,nan,2.29676,3.24496,2.29434,3.24159,189,2.24147,3.19869,2.24147,3.19869
1,base_pad64,0,4014ae5bcda2726f,144,143,5.04221,9.21890,5.05601,9.25315,nan,5.04221,9.21890,5.05601,9.25315,123,5.32825,9.80111,5.32825,9.80111
1,base_pad64,1,2a81f5233075e987,273,272,1.32584,2.37643,1.32399,2.37785,nan,1.32584,2.37643,1.32399,2.37785,189,1.42175,2.50633,1.42175,2.50633
1,base_pad64,1,4014ae5bcda2726f,144,143,2.70645,4.96908,2.71160,4.98853,nan,2.70645,4.96908,2.71160,4.98853,123,2.80141,5.20654,2.80141,5.20654
1,base_pad64,2,2a81f5233075e987,273,272,1.52279,3.03687,1.52556,3.04418,nan,1.52279,3.03687,1.52556,3.04418,189,1.63087,3.21403,1.63087,3.21403
1,base_pad64,2,4014ae5bcda2726f,144,143,2.02086,3.71515,2.02880,3.73306,nan,2.02086,3.71515,2.02880,3.73306,123,2.01008,3.72881,2.01008,3.72881
1,base_pad64,3,2a81f5233075e987,273,272,1.26874,1.87353,1.26748,1.87363,nan,1.26874,1.87353,1.26748,1.87363,189,1.17021,1.80347,1.17021,1.80347
1,base_pad64,3,4014ae5bcda2726f,144,143,3.30102,6.43425,3.31225,6.46563,nan,3.30102,6.43425,3.31225,6.46563,123,3.46219,6.84040,3.46219,6.84040
1,base_pad64,4,2a81f5233075e987,273,272,1.06386,1.94916,1.06350,1.95309,nan,1.06386,1.94916,1.06350,1.95309,189,1.09240,2.01897,1.09240,2.01897
1,base_pad64,4,4014ae5bcda2726f,144,143,3.08101,5.77829,3.09340,5.81109,nan,3.08101,5.77829,3.09340,5.81109,123,3.25815,6.16856,3.25815,6.16856
1,base_pad64,5,2a81f5233075e987,273,272,1.71202,2.39938,1.70785,2.39488,nan,1.71202,2.39938,1.70785,2.39488,189,1.60918,2.17846,1.60918,2.17846
1,base_pad64,5,4014ae5bcda2726f,144,143,3.44048,6.45810,3.44404,6.47742,nan,3.44048,6.45810,3.44404,6.47742,123,3.55827,6.76898,3.55827,6.76898
1,base_pad64,6,2a81f5233075e987,273,272,1.26706,2.37822,1.26600,2.38078,nan,1.26706,2.37822,1.26600,2.38078,189,1.12887,2.15615,1.12887,2.15615
1,base_pad64,6,4014ae5bcda2726f,144,143,2.69062,5.15345,2.69827,5.17797,nan,2.69062,5.15345,2.69827,5.17797,123,2.77464,5.38270,2.77464,5.38270
1,base_pad64,7,2a81f5233075e987,273,272,1.37460,1.92492,1.37189,1.92302,nan,1.37460,1.92492,1.37189,1.92302,189,1.26189,1.70506,1.26189,1.70506
1,base_pad64,7,4014ae5bcda2726f,144,143,3.55552,6.43288,3.56510,6.46043,nan,3.55552,6.43288,3.56510,6.46043,123,3.75737,6.86406,3.75737,6.86406
2,base_pad0,0,2e41fe6faf5cd2ea,210,183,1.54224,2.81774,1.65337,3.14912,nan,1.54224,2.81774,1.65337,3.14912,199,1.56185,2.88833,1.56185,2.88833
2,base_pad0,0,41692b0ec7ff4123,105,104,6.65534,21.91555,6.71326,22.12484,nan,6.65534,21.91555,6.71326,22.12484,105,6.65534,21.91555,6.65534,21.91555
2,base_pad0,1,2e41fe6faf5cd2ea,210,183,3.40451,5.55674,3.47144,5.79508,nan,3.40451,5.55674,3.47144,5.79508,199,3.42932,5.63337,3.42932,5.63337
2,base_pad0,1,41692b0ec7ff4123,105,104,7.42000,22.30342,7.46327,22.48139,nan,7.42000,22.30342,7.46327,22.48139,105,7.42000,22.30342,7.42000,22.30342
2,base_pad0,2,2e41fe6faf5cd2ea,210,183,1.58393,3.09532,1.65844,3.37200,nan,1.58393,3.09532,1.65844,3.37200,199,1.59501,3.16755,1.59501,3.16755
2,base_pad0,2,41692b0ec7ff4123,105,104,6.55320,22.00737,6.60691,22.20952,nan,6.55320,22.00737,6.60691,22.20952,105,6.55320,22.00737,6.55320,22.00737
2,base_pad0,3,2e41fe6faf5cd2ea,210,183,3.68071,6.01128,3.73467,6.25173,nan,3.68071,6.01128,3.73467,6.25173,199,3.71693,6.11227,3.71693,6.11227
2,base_pad0,3,41692b0ec7ff4123,105,104,7.99069,23.00643,8.03476,23.18503,nan,7.99069,23.00643,8.03476,23.18503,105,7.99069,23.00643,7.99069,23.00643
2,base_pad0,4,2e41fe6faf5cd2ea,210,183,1.87335,3.49459,1.95248,3.77797,nan,1.87335,3.49459,1.95248,3.77797,199,1.88937,3.56770,1.88937,3.56770
2,base_pad0,4,41692b0ec7ff4123,105,104,6.65318,21.87271,6.70518,22.07019,nan,6.65318,21.87271,6.70518,22.07019,105,6.65318,21.87271,6.65318,21.87271
2,base_pad0,5,2e41fe6faf5cd2ea,210,183,1.59853,3.02317,1.69242,3.34021,nan,1.59853,3.02317,1.69242,3.34021,199,1.62846,3.11758,1.62846,3.11758
2,base_pad0,5,41692b0ec7ff4123,105,104,6.66664,21.92112,6.72202,22.12523,nan,6.66664,21.92112,6.72202,22.12523,105,6.66664,21.92112,6.66664,21.92112
2,base_pad0,6,2e41fe6faf5cd2ea,210,183,2.48542,4.33926,2.56789,4.62411,nan,2.48542,4.33926,2.56789,4.62411,199,2.52667,4.44677,2.52667,4.44677
2,base_pad0,6,41692b0ec7ff4123,105,104,7.12606,22.39326,7.17571,22.58564,nan,7.12606,22.39326,7.17571,22.58564,105,7.12606,22.39326,7.12606,22.39326
2,base_pad0,7,2e41fe6faf5cd2ea,210,183,1.88017,3.45214,1.95084,3.72955,nan,1.88017,3.45214,1.95084,3.72955,199,1.90791,3.54254,1.90791,3.54254
2,base_pad0,7,41692b0ec7ff4123,105,104,6.80410,22.18841,6.85615,22.38753,nan,6.80410,22.18841,6.85615,22.38753,105,6.80410,22.18841,6.80410,22.18841
2,base_pad64,0,2e41fe6faf5cd2ea,210,183,1.85569,3.00282,1.91113,3.23236,nan,1.85569,3.00282,1.91113,3.23236,199,1.82299,2.98019,1.82299,2.98019
2,base_pad64,0,41692b0ec7ff4123,105,104,6.33034,21.15008,6.38007,21.34622,nan,6.33034,21.15008,6.38007,21.34622,105,6.33034,21.15008,6.33034,21.15008
2,base_pad64,1,2e41fe6faf5cd2ea,210,183,3.43863,5.47165,3.47831,5.67467,nan,3.43863,5.47165,3.47831,5.67467,199,3.43119,5.49226,3.43119,5.49226
2,base_pad64,1,41692b0ec7ff4123,105,104,7.32332,21.97494,7.36486,22.15062,nan,7.32332,21.97494,7.36486,22.15062,105,7.32332,21.97494,7.32332,21.97494
2,base_pad64,2,2e41fe6faf5cd2ea,210,183,1.53306,2.80162,1.57565,3.02061,nan,1.53306,2.80162,1.57565,3.02061,199,1.49859,2.78900,1.49859,2.78900
2,base_pad64,2,41692b0ec7ff4123,105,104,6.08779,21.02868,6.13763,21.22454,nan,6.08779,21.02868,6.13763,21.22454,105,6.08779,21.02868,6.08779,21.02868
2,base_pad64,3,2e41fe6faf5cd2ea,210,183,2.59415,4.29304,2.62155,4.49400,nan,2.59415,4.29304,2.62155,4.49400,199,2.58427,4.31315,2.58427,4.31315
2,base_pad64,3,41692b0ec7ff4123,105,104,6.92717,21.58380,6.97213,21.76687,nan,6.92717,21.58380,6.97213,21.76687,105,6.92717,21.58380,6.92717,21.58380
2,base_pad64,4,2e41fe6faf5cd2ea,210,183,3.07884,5.23940,3.12574,5.45176,nan,3.07884,5.23940,3.12574,5.45176,199,3.07241,5.25933,3.07241,5.25933
2,base_pad64,4,41692b0ec7ff4123,105,104,7.00406,21.85280,7.04646,22.03010,nan,7.00406,21.85280,7.04646,22.03010,105,7.00406,21.85280,7.00406,21.85280
2,base_pad64,5,2e41fe6faf5cd2ea,210,183,2.14653,3.75254,2.18471,3.96207,nan,2.14653,3.75254,2.18471,3.96207,199,2.13845,3.77407,2.13845,3.77407
2,base_pad64,5,41692b0ec7ff4123,105,104,6.67321,21.65254,6.72075,21.84192,nan,6.67321,21.65254,6.72075,21.84192,105,6.67321,21.65254,6.67321,21.65254
2,base_pad64,6,2e41fe6faf5cd2ea,210,183,2.01832,3.41230,2.07204,3.63836,nan,2.01832,3.41230,2.07204,3.63836,199,1.99486,3.40441,1.99486,3.40441
2,base_pad64,6,41692b0ec7ff4123,105,104,6.37655,21.31713,6.42430,21.50916,nan,6.37655,21.31713,6.42430,21.50916,105,6.37655,21.31713,6.37655,21.31713
2,base_pad64,7,2e41fe6faf5cd2ea,210,183,1.52684,2.97868,1.55146,3.15070,nan,1.52684,2.97868,1.55146,3.15070,199,1.49538,2.96723,1.49538,2.96723
2,base_pad64,7,41692b0ec7ff4123,105,104,6.05974,20.95471,6.10790,21.14405,nan,6.05974,20.95471,6.10790,21.14405,105,6.05974,20.95471,6.05974,20.95471
3,base_pad0,0,367b072edc9822ea,36,35,5.64582,11.38816,5.73783,11.62221,nan,5.64582,11.38816,5.73783,11.62221,29,5.66354,11.44301,5.66354,11.44301
3,base_pad0,0,4a2ef30000d19d90,144,143,1.40801,2.23584,1.40130,2.22994,nan,1.40801,2.23584,1.40130,2.22994,137,1.44327,2.31459,1.44327,2.31459
