epoca,train,train_sd,val_intra,val_intra_sd,val_escenas,val_escenas_sd
sin_entrenar,3.0590266466140745,0.01147359977996931,3.042637825012207,0.0,2.684353715723211,0.22344638056966704
25,0.718545812368393,0.019446057699279394,0.8052232563495636,0.0,1.8480374292893844,0.5903790663608803
50,0.6649130254983902,0.017389839750168695,0.7484895884990692,0.0,1.8299815633080223,0.5764150903309134
75,0.6421291410923005,0.018610255674984463,0.7190640866756439,0.0,1.8533856922929937,0.5895833037428917
100,0.6253481566905975,0.0194185480475911,0.7062339782714844,0.0,1.9190596439621666,0.6227610097474291
125,0.6091306567192077,0.020815539304413017,0.6810454726219177,0.0,1.9542741439559244,0.6370238353254277
150,0.5963986098766327,0.020571299095123036,0.6714187264442444,0.0,1.929768437689001,0.616271585764825
175,0.5899213701486588,0.021067247828084244,0.663819432258606,0.0,1.9818460236896167,0.6499939472103419
200,0.5784535676240921,0.019513129480914874,0.6594935655593872,0.0,1.978395116329193,0.6491392787019283
225,0.5722871243953704,0.020266147778233944,0.6486516892910004,0.0,1.9842468619346618,0.6355920567895529
250,0.5643460184335709,0.01952271904827828,0.6456160247325897,0.0,1.9912524515932257,0.6457189807531178
275,0.556026092171669,0.020516469525069254,0.6436209678649902,0.0,2.052535898035223,0.6827766690994959
300,0.5544676929712296,0.020829685061519127,0.640289306640625,0.0,2.0059699286114085,0.6635139808467038
325,0.5444831609725952,0.018832019716742344,0.6426375806331635,0.0,2.001192280379209,0.6566441069772904
350,0.5401230871677398,0.02193190269822665,0.648460328578949,0.0,2.0576346148144116,0.6853526969768329
375,0.5303082823753357,0.020448717952242047,0.6642966866493225,0.0,2.0210272854024716,0.6753778902856995
400,0.524262198805809,0.020804202659270618,0.646378368139267,0.0,2.0515949682755905,0.6872928958186192
