fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate,minade_all,minfde_all,minade_moving,minfde_moving
2,gated_obj,1,41692b0ec7ff4123,105,104,7.18891,21.98459,7.23263,22.16496,0.00304,7.18891,21.98459,7.23263,22.16496
2,gated_obj,2,2e41fe6faf5cd2ea,210,183,1.81290,3.32920,1.88128,3.59717,0.00398,1.81290,3.32920,1.88128,3.59717
2,gated_obj,2,41692b0ec7ff4123,105,104,6.47578,21.68914,6.52706,21.88707,0.00398,6.47578,21.68914,6.52706,21.88707
2,gated_obj,3,2e41fe6faf5cd2ea,210,183,3.11472,5.04964,3.15266,5.26368,0.00142,3.11472,5.04964,3.15266,5.26368
2,gated_obj,3,41692b0ec7ff4123,105,104,7.56946,22.39518,7.61477,22.57704,0.00142,7.56946,22.39518,7.61477,22.57704
3,gate0_obj,0,367b072edc9822ea,36,35,4.14609,9.05272,4.20944,9.23576,0.00000,4.14609,9.05272,4.20944,9.23576
3,gate0_obj,0,4a2ef30000d19d90,144,143,1.58765,3.01071,1.58621,3.01501,0.00000,1.58765,3.01071,1.58621,3.01501
3,gate0_obj,1,367b072edc9822ea,36,35,3.34849,7.38568,3.38904,7.53449,0.00000,3.34849,7.38568,3.38904,7.53449
3,gate0_obj,1,4a2ef30000d19d90,144,143,1.56607,2.84520,1.56377,2.85043,0.00000,1.56607,2.84520,1.56377,2.85043
3,gate0_obj,2,367b072edc9822ea,36,35,3.77590,8.43136,3.81256,8.58183,0.00000,3.77590,8.43136,3.81256,8.58183
3,gate0_obj,2,4a2ef30000d19d90,144,143,1.46908,2.28269,1.46268,2.27782,0.00000,1.46908,2.28269,1.46268,2.27782
3,gate0_obj,3,367b072edc9822ea,36,35,4.01738,8.54703,4.09048,8.74761,0.00000,4.01738,8.54703,4.09048,8.74761
3,gate0_obj,3,4a2ef30000d19d90,144,143,1.49579,2.86366,1.49666,2.87406,0.00000,1.49579,2.86366,1.49666,2.87406
3,gated_obj,0,367b072edc9822ea,36,35,5.05556,10.50267,5.14019,10.72518,0.00328,5.05556,10.50267,5.14019,10.72518
3,gated_obj,0,4a2ef30000d19d90,144,143,1.33462,2.18621,1.32999,2.18380,0.00328,1.33462,2.18621,1.32999,2.18380
3,gated_obj,1,367b072edc9822ea,36,35,4.32818,9.49306,4.39148,9.69199,0.00605,4.32818,9.49306,4.39148,9.69199
3,gated_obj,1,4a2ef30000d19d90,144,143,1.32826,2.52295,1.32320,2.52389,0.00605,1.32826,2.52295,1.32320,2.52389
3,gated_obj,2,367b072edc9822ea,36,35,3.53760,8.32743,3.59590,8.51733,0.00507,3.53760,8.32743,3.59590,8.51733
3,gated_obj,2,4a2ef30000d19d90,144,143,1.43254,3.00832,1.43256,3.01851,0.00507,1.43254,3.00832,1.43256,3.01851
3,gated_obj,3,367b072edc9822ea,36,35,5.09256,10.84281,5.18502,11.08403,0.00295,5.09256,10.84281,5.18502,11.08403
3,gated_obj,3,4a2ef30000d19d90,144,143,1.50466,3.13357,1.50333,3.14092,0.00295,1.50466,3.13357,1.50333,3.14092
4,gate0_obj,0,394e61f27c2a1700,435,434,2.33988,2.59701,2.33814,2.59308,0.00000,2.33988,2.59701,2.33814,2.59308
4,gate0_obj,0,4b60f9400a30ceaf,194,193,5.28633,12.13263,5.29771,12.17325,0.00000,5.28633,12.13263,5.29771,12.17325
4,gate0_obj,1,394e61f27c2a1700,435,434,0.91601,2.32809,0.91372,2.32858,0.00000,0.91601,2.32809,0.91372,2.32858
4,gate0_obj,1,4b60f9400a30ceaf,194,193,4.24254,10.16281,4.25437,10.20417,0.00000,4.24254,10.16281,4.25437,10.20417
4,gate0_obj,2,394e61f27c2a1700,435,434,0.99336,0.97446,0.99161,0.97181,0.00000,0.99336,0.97446,0.99161,0.97181
4,gate0_obj,2,4b60f9400a30ceaf,194,193,3.95471,9.98682,3.96603,10.02752,0.00000,3.95471,9.98682,3.96603,10.02752
4,gate0_obj,3,394e61f27c2a1700,435,434,1.38161,2.78074,1.38003,2.78156,0.00000,1.38161,2.78074,1.38003,2.78156
4,gate0_obj,3,4b60f9400a30ceaf,194,193,4.32650,10.36833,4.33795,10.40920,0.00000,4.32650,10.36833,4.33795,10.40920
4,gated_obj,0,394e61f27c2a1700,435,434,1.00402,0.84501,1.00246,0.84250,0.00434,1.00402,0.84501,1.00246,0.84250
4,gated_obj,0,4b60f9400a30ceaf,194,193,4.20530,10.37962,4.21843,10.42348,0.00434,4.20530,10.37962,4.21843,10.42348
4,gated_obj,1,394e61f27c2a1700,435,434,0.86679,1.87667,0.86432,1.87569,0.00446,0.86679,1.87667,0.86432,1.87569
4,gated_obj,1,4b60f9400a30ceaf,194,193,4.57476,10.92796,4.58826,10.97249,0.00446,4.57476,10.92796,4.58826,10.97249
4,gated_obj,2,394e61f27c2a1700,435,434,1.38616,1.74117,1.38341,1.73674,0.00682,1.38616,1.74117,1.38341,1.73674
4,gated_obj,2,4b60f9400a30ceaf,194,193,4.72345,11.33779,4.73459,11.37772,0.00682,4.72345,11.33779,4.73459,11.37772
4,gated_obj,3,394e61f27c2a1700,435,434,2.03636,4.46843,2.03840,4.47597,0.00409,2.03636,4.46843,2.03840,4.47597
4,gated_obj,3,4b60f9400a30ceaf,194,193,3.66868,9.42400,3.68166,9.46684,0.00409,3.66868,9.42400,3.68166,9.46684
