fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate,minade_all,minfde_all,minade_moving,minfde_moving,n_veh,ade_veh,fde_veh,minade_veh,minfde_veh
3,gated_dens,5,4a2ef30000d19d90,144,143,1.89568,3.98682,1.89930,4.00173,0.00482,1.89568,3.98682,1.89930,4.00173,137,1.90010,3.99448,1.90010,3.99448
3,gated_dens,6,367b072edc9822ea,36,35,5.29743,10.91643,5.36532,11.11649,0.00277,5.29743,10.91643,5.36532,11.11649,29,5.27446,10.89668,5.27446,10.89668
3,gated_dens,6,4a2ef30000d19d90,144,143,1.84668,2.58509,1.83941,2.57612,0.00277,1.84668,2.58509,1.83941,2.57612,137,1.88255,2.66621,1.88255,2.66621
3,gated_dens,7,367b072edc9822ea,36,35,4.70674,9.67712,4.78561,9.88597,0.00300,4.70674,9.67712,4.78561,9.88597,29,4.63612,9.65291,4.63612,9.65291
3,gated_dens,7,4a2ef30000d19d90,144,143,1.46756,3.24129,1.46451,3.24778,0.00300,1.46756,3.24129,1.46451,3.24778,137,1.48766,3.26867,1.48766,3.26867
4,gated_dens,0,394e61f27c2a1700,435,434,1.31629,1.27681,1.31556,1.27532,0.00398,1.31629,1.27681,1.31556,1.27532,386,1.30217,1.25828,1.30217,1.25828
4,gated_dens,0,4b60f9400a30ceaf,194,193,4.25490,10.56510,4.26850,10.60990,0.00398,4.25490,10.56510,4.26850,10.60990,187,4.25007,10.55471,4.25007,10.55471
4,gated_dens,1,394e61f27c2a1700,435,434,0.86993,1.63519,0.86645,1.63227,0.00376,0.86993,1.63519,0.86645,1.63227,386,0.86732,1.64014,0.86732,1.64014
4,gated_dens,1,4b60f9400a30ceaf,194,193,4.91813,11.37298,4.93116,11.41677,0.00376,4.91813,11.37298,4.93116,11.41677,187,4.92959,11.38643,4.92959,11.38643
4,gated_dens,2,394e61f27c2a1700,435,434,1.21577,1.07233,1.21310,1.06720,0.00552,1.21577,1.07233,1.21310,1.06720,386,1.20046,1.04618,1.20046,1.04618
4,gated_dens,2,4b60f9400a30ceaf,194,193,4.74215,11.47998,4.75440,11.52244,0.00552,4.74215,11.47998,4.75440,11.52244,187,4.72885,11.45560,4.72885,11.45560
4,gated_dens,3,394e61f27c2a1700,435,434,1.22396,2.89035,1.22333,2.89352,0.00075,1.22396,2.89035,1.22333,2.89352,386,1.21704,2.87430,1.21704,2.87430
4,gated_dens,3,4b60f9400a30ceaf,194,193,3.96010,9.79374,3.97273,9.83662,0.00075,3.96010,9.79374,3.97273,9.83662,187,3.95991,9.78961,3.95991,9.78961
4,gated_dens,4,394e61f27c2a1700,435,434,1.50237,3.23045,1.50290,3.23494,0.00603,1.50237,3.23045,1.50290,3.23494,386,1.49995,3.22587,1.49995,3.22587
4,gated_dens,4,4b60f9400a30ceaf,194,193,3.74737,9.53418,3.76022,9.57718,0.00603,3.74737,9.53418,3.76022,9.57718,187,3.75676,9.54789,3.75676,9.54789
4,gated_dens,5,394e61f27c2a1700,435,434,0.95472,1.55728,0.95179,1.55375,0.00425,0.95472,1.55728,0.95179,1.55375,386,0.94635,1.54732,0.94635,1.54732
4,gated_dens,5,4b60f9400a30ceaf,194,193,4.65368,11.21825,4.66615,11.26010,0.00425,4.65368,11.21825,4.66615,11.26010,187,4.65580,11.21954,4.65580,11.21954
4,gated_dens,6,394e61f27c2a1700,435,434,0.75157,1.86257,0.75097,1.86511,0.00335,0.75157,1.86257,0.75097,1.86511,386,0.74033,1.84726,0.74033,1.84726
4,gated_dens,6,4b60f9400a30ceaf,194,193,3.57973,9.22509,3.59338,9.26969,0.00335,3.57973,9.22509,3.59338,9.26969,187,3.57624,9.21980,3.57624,9.21980
4,gated_dens,7,394e61f27c2a1700,435,434,1.19875,1.93797,1.19758,1.93861,0.00718,1.19875,1.93797,1.19758,1.93861,386,1.18795,1.91440,1.18795,1.91440
4,gated_dens,7,4b60f9400a30ceaf,194,193,4.32961,10.24471,4.34304,10.28889,0.00718,4.32961,10.24471,4.34304,10.28889,187,4.33147,10.24269,4.33147,10.24269
