fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate
1,baseline,3,2a81f5233075e987,273,272,1.66073,2.67568,1.65928,2.67594,nan
1,baseline,3,4014ae5bcda2726f,144,143,4.06317,7.69897,4.07658,7.73392,nan
1,gate0,3,2a81f5233075e987,273,272,1.29695,1.94202,1.29562,1.94171,0.00000
1,gate0,3,4014ae5bcda2726f,144,143,3.33884,6.38286,3.34997,6.41258,0.00000
1,gated,3,2a81f5233075e987,273,272,2.60435,3.79417,2.60157,3.79067,0.30833
1,gated,3,4014ae5bcda2726f,144,143,4.33363,8.29747,4.35526,8.34786,0.30833
1,baseline,4,2a81f5233075e987,273,272,1.17142,2.36529,1.17210,2.37103,nan
1,baseline,4,4014ae5bcda2726f,144,143,3.17987,6.23875,3.19429,6.27561,nan
1,gate0,4,2a81f5233075e987,273,272,1.04301,1.79809,1.04226,1.80087,0.00000
1,gate0,4,4014ae5bcda2726f,144,143,3.12233,5.91392,3.13441,5.94651,0.00000
1,gated,4,2a81f5233075e987,273,272,1.41733,2.15787,1.41454,2.15595,0.35031
1,gated,4,4014ae5bcda2726f,144,143,3.96974,7.26545,3.98718,7.29534,0.35031
1,baseline,5,2a81f5233075e987,273,272,1.68681,2.76935,1.68351,2.76791,nan
1,baseline,5,4014ae5bcda2726f,144,143,3.44554,6.53489,3.45091,6.55777,nan
1,gate0,5,2a81f5233075e987,273,272,1.48813,2.12176,1.48435,2.11820,0.00000
1,gate0,5,4014ae5bcda2726f,144,143,3.28808,6.20769,3.29280,6.22880,0.00000
1,gated,5,2a81f5233075e987,273,272,2.39668,3.46778,2.39562,3.46788,0.26167
1,gated,5,4014ae5bcda2726f,144,143,3.31156,6.49558,3.32966,6.53244,0.26167
1,baseline,6,2a81f5233075e987,273,272,1.39421,2.76852,1.39399,2.77271,nan
1,baseline,6,4014ae5bcda2726f,144,143,2.82012,5.58222,2.82927,5.60985,nan
1,gate0,6,2a81f5233075e987,273,272,1.24699,2.20297,1.24569,2.20436,0.00000
1,gate0,6,4014ae5bcda2726f,144,143,2.74213,5.18760,2.74986,5.21145,0.00000
1,gated,6,2a81f5233075e987,273,272,5.55321,8.62095,5.55308,8.62140,0.31465
1,gated,6,4014ae5bcda2726f,144,143,3.48174,6.59692,3.49361,6.62644,0.31465
1,baseline,7,2a81f5233075e987,273,272,1.33647,2.05787,1.33501,2.05838,nan
1,baseline,7,4014ae5bcda2726f,144,143,3.96840,7.40412,3.98325,7.44148,nan
1,gate0,7,2a81f5233075e987,273,272,1.49220,1.88332,1.48918,1.88043,0.00000
1,gate0,7,4014ae5bcda2726f,144,143,3.73689,6.83482,3.74613,6.86320,0.00000
1,gated,7,2a81f5233075e987,273,272,1.50204,2.69151,1.50068,2.69154,0.24139
1,gated,7,4014ae5bcda2726f,144,143,3.33765,6.50596,3.35263,6.53864,0.24139
2,baseline,0,2e41fe6faf5cd2ea,210,183,1.54224,2.81774,1.65337,3.14912,nan
2,baseline,0,41692b0ec7ff4123,105,104,6.65534,21.91555,6.71326,22.12484,nan
