fold,variant,seed,scene,n_obj,n_moving,ade_all,fde_all,ade_moving,fde_moving,gate
1,base11,7,2a81f5233075e987,39,38,2.02243,4.26137,2.03085,4.32428,nan
1,base11,7,4014ae5bcda2726f,20,19,7.25767,17.01328,7.54752,17.80655,nan
1,base5,7,2a81f5233075e987,39,38,1.40260,1.94143,1.39390,1.94199,nan
1,base5,7,4014ae5bcda2726f,20,19,3.77532,6.75448,3.87691,7.00152,nan
2,base11,0,2e41fe6faf5cd2ea,25,9,2.68206,4.71356,4.18920,8.82680,nan
2,base11,0,41692b0ec7ff4123,15,14,8.37996,25.40392,8.84771,27.04906,nan
2,base5,0,2e41fe6faf5cd2ea,25,9,1.63500,2.97499,3.30506,7.72505,nan
2,base5,0,41692b0ec7ff4123,15,14,8.11127,25.23290,8.64554,27.02454,nan
2,base11,1,2e41fe6faf5cd2ea,25,9,3.63304,6.10677,3.67478,7.58289,nan
2,base11,1,41692b0ec7ff4123,15,14,8.40668,25.81078,8.75354,27.28583,nan
2,base5,1,2e41fe6faf5cd2ea,25,9,3.55364,5.75560,4.61611,9.09578,nan
2,base5,1,41692b0ec7ff4123,15,14,8.80604,25.58696,9.22643,27.14358,nan
2,base11,2,2e41fe6faf5cd2ea,25,9,3.54140,5.73326,4.32680,8.81739,nan
2,base11,2,41692b0ec7ff4123,15,14,8.70777,26.05328,9.11086,27.63549,nan
2,base5,2,2e41fe6faf5cd2ea,25,9,1.68713,3.34734,2.92211,7.46437,nan
2,base5,2,41692b0ec7ff4123,15,14,8.20289,25.77361,8.71970,27.54434,nan
2,base11,3,2e41fe6faf5cd2ea,25,9,2.08356,4.05766,2.84589,6.88103,nan
2,base11,3,41692b0ec7ff4123,15,14,8.29069,26.08639,8.77389,27.78869,nan
2,base5,3,2e41fe6faf5cd2ea,25,9,3.93709,6.41836,4.83508,9.83289,nan
2,base5,3,41692b0ec7ff4123,15,14,9.45787,26.49838,9.89005,28.07453,nan
2,base11,4,2e41fe6faf5cd2ea,25,9,2.90631,5.05195,4.06104,8.81594,nan
2,base11,4,41692b0ec7ff4123,15,14,8.51476,25.45398,8.96352,27.06739,nan
2,base5,4,2e41fe6faf5cd2ea,25,9,1.99566,3.73116,3.26890,7.86125,nan
2,base5,4,41692b0ec7ff4123,15,14,8.17908,25.39842,8.67436,27.11727,nan
2,base11,5,2e41fe6faf5cd2ea,25,9,2.48559,4.27912,3.38754,7.66343,nan
2,base11,5,41692b0ec7ff4123,15,14,8.38549,25.71969,8.85244,27.40520,nan
2,base5,5,2e41fe6faf5cd2ea,25,9,1.75740,3.32682,3.20927,7.87669,nan
2,base5,5,41692b0ec7ff4123,15,14,8.15558,25.39009,8.67332,27.15409,nan
2,base11,6,2e41fe6faf5cd2ea,25,9,1.46881,3.40141,2.78679,6.90846,nan
2,base11,6,41692b0ec7ff4123,15,14,8.02624,25.58345,8.55418,27.31760,nan
2,base5,6,2e41fe6faf5cd2ea,25,9,2.65902,4.66170,3.86182,8.61574,nan
2,base5,6,41692b0ec7ff4123,15,14,8.60624,25.84134,9.08076,27.51674,nan
2,base11,7,2e41fe6faf5cd2ea,25,9,1.98232,3.67370,3.57693,8.17653,nan
2,base11,7,41692b0ec7ff4123,15,14,8.18859,25.10677,8.70589,26.83980,nan
2,base5,7,2e41fe6faf5cd2ea,25,9,2.01775,3.78112,3.08280,7.76389,nan
2,base5,7,41692b0ec7ff4123,15,14,8.26127,25.60605,8.75205,27.32932,nan
3,base11,0,367b072edc9822ea,5,4,2.86920,5.90220,3.22657,6.88188,nan
3,base11,0,4a2ef30000d19d90,20,19,2.20000,4.52388,2.23271,4.64298,nan
3,base5,0,367b072edc9822ea,5,4,4.86144,9.28989,5.47050,10.81330,nan
3,base5,0,4a2ef30000d19d90,20,19,1.46948,2.06770,1.42217,2.01443,nan
3,base11,1,367b072edc9822ea,5,4,3.26185,5.63895,3.76289,6.98981,nan
3,base11,1,4a2ef30000d19d90,20,19,1.30185,2.20010,1.29478,2.27934,nan
3,base5,1,367b072edc9822ea,5,4,3.61422,7.68484,4.06926,9.05011,nan
3,base5,1,4a2ef30000d19d90,20,19,1.60737,3.46219,1.60173,3.53646,nan
3,base11,2,367b072edc9822ea,5,4,3.11309,7.11722,3.64946,8.49313,nan
3,base11,2,4a2ef30000d19d90,20,19,2.03922,4.62790,2.09930,4.80201,nan
3,base5,2,367b072edc9822ea,5,4,2.75174,6.37633,2.98255,7.40154,nan
3,base5,2,4a2ef30000d19d90,20,19,1.53656,3.10666,1.52316,3.15368,nan
3,base11,3,367b072edc9822ea,5,4,2.94436,5.93161,3.11554,6.72761,nan
3,base11,3,4a2ef30000d19d90,20,19,1.32513,2.27213,1.27185,2.23882,nan
3,base5,3,367b072edc9822ea,5,4,4.83813,9.66599,5.64630,11.59101,nan
3,base5,3,4a2ef30000d19d90,20,19,1.60959,3.32466,1.61443,3.40606,nan
3,base11,4,367b072edc9822ea,5,4,4.35885,7.84979,4.93260,9.09176,nan
3,base11,4,4a2ef30000d19d90,20,19,1.45174,2.37236,1.41707,2.34063,nan
3,base5,4,367b072edc9822ea,5,4,4.16151,8.32477,4.60460,9.63072,nan
3,base5,4,4a2ef30000d19d90,20,19,1.66867,3.15479,1.63509,3.16609,nan
3,base11,5,367b072edc9822ea,5,4,2.96605,6.17584,3.36202,7.35170,nan
3,base11,5,4a2ef30000d19d90,20,19,0.97555,1.83028,0.95057,1.83883,nan
3,base5,5,367b072edc9822ea,5,4,3.55879,7.22939,4.16603,8.69800,nan
3,base5,5,4a2ef30000d19d90,20,19,1.90766,3.91107,1.94401,4.03599,nan
3,base11,6,367b072edc9822ea,5,4,2.52795,5.73804,2.73634,6.50221,nan
3,base11,6,4a2ef30000d19d90,20,19,1.96722,3.85568,1.97308,3.89575,nan
3,base5,6,367b072edc9822ea,5,4,5.17132,10.11753,5.63475,11.49476,nan
3,base5,6,4a2ef30000d19d90,20,19,1.94774,2.78735,1.87954,2.69891,nan
3,base11,7,367b072edc9822ea,5,4,4.32363,8.32153,4.91757,9.55700,nan
3,base11,7,4a2ef30000d19d90,20,19,1.82739,3.58985,1.81297,3.58364,nan
3,base5,7,367b072edc9822ea,5,4,3.35210,6.94926,3.89086,8.35417,nan
3,base5,7,4a2ef30000d19d90,20,19,1.58159,3.43447,1.60078,3.54110,nan
4,base11,0,394e61f27c2a1700,55,54,2.25961,5.52819,2.27417,5.60191,nan
4,base11,0,4b60f9400a30ceaf,27,26,3.73594,9.32901,3.82223,9.62758,nan
4,base5,0,394e61f27c2a1700,55,54,1.97534,2.05858,1.96481,2.03296,nan
4,base5,0,4b60f9400a30ceaf,27,26,5.33851,12.31577,5.44659,12.65835,nan
4,base11,1,394e61f27c2a1700,55,54,2.97837,6.96017,3.00814,7.06300,nan
4,base11,1,4b60f9400a30ceaf,27,26,3.33421,8.64888,3.40960,8.92743,nan
4,base5,1,394e61f27c2a1700,55,54,1.39832,0.61466,1.36762,0.54855,nan
4,base5,1,4b60f9400a30ceaf,27,26,5.91655,13.06799,6.02494,13.40745,nan
4,base11,2,394e61f27c2a1700,55,54,3.10327,7.91644,3.11176,8.00671,nan
4,base11,2,4b60f9400a30ceaf,27,26,4.69299,10.42517,4.77091,10.70814,nan
4,base5,2,394e61f27c2a1700,55,54,1.91591,2.03635,1.89632,1.99329,nan
4,base5,2,4b60f9400a30ceaf,27,26,5.72138,13.01168,5.82706,13.34504,nan
4,base11,3,394e61f27c2a1700,55,54,2.34766,5.33752,2.36604,5.40908,nan
4,base11,3,4b60f9400a30ceaf,27,26,3.98924,9.86527,4.08996,10.18792,nan
4,base5,3,394e61f27c2a1700,55,54,1.37327,3.29367,1.37434,3.33060,nan
4,base5,3,4b60f9400a30ceaf,27,26,4.16560,10.14655,4.27467,10.48766,nan
4,base11,4,394e61f27c2a1700,55,54,2.51598,6.40315,2.54459,6.49711,nan
4,base11,4,4b60f9400a30ceaf,27,26,3.13769,8.40671,3.22044,8.67904,nan
4,base5,4,394e61f27c2a1700,55,54,1.71855,3.40711,1.73509,3.46090,nan
4,base5,4,4b60f9400a30ceaf,27,26,3.75723,9.62544,3.86860,9.97393,nan
4,base11,5,394e61f27c2a1700,55,54,1.71014,3.57512,1.68880,3.57597,nan
4,base11,5,4b60f9400a30ceaf,27,26,5.27771,11.56741,5.36974,11.87558,nan
4,base5,5,394e61f27c2a1700,55,54,0.84175,1.83549,0.81776,1.81813,nan
4,base5,5,4b60f9400a30ceaf,27,26,4.86788,11.57069,4.97170,11.90684,nan
4,base11,6,394e61f27c2a1700,55,54,4.32839,9.64952,4.39826,9.81310,nan
4,base11,6,4b60f9400a30ceaf,27,26,2.74236,7.44325,2.82614,7.69893,nan
4,base5,6,394e61f27c2a1700,55,54,0.84322,1.59361,0.83684,1.60665,nan
4,base5,6,4b60f9400a30ceaf,27,26,4.24786,10.27380,4.36542,10.63462,nan
4,base11,7,394e61f27c2a1700,55,54,1.51308,3.75957,1.48791,3.74827,nan
4,base11,7,4b60f9400a30ceaf,27,26,5.12789,11.88671,5.21417,12.17543,nan
4,base5,7,394e61f27c2a1700,55,54,1.49572,2.42618,1.49420,2.44011,nan
4,base5,7,4b60f9400a30ceaf,27,26,4.67138,10.90433,4.78849,11.25609,nan
